rank,status,recommended,feature_readable,feature_family,condition,base_feature,formula_readable,formula_family,pairwise_n,valid_fraction,spearman_r,abs_spearman,bootstrap_sign_stability,mutual_information,not_recommended_reason,feature_name
47,weak,False,"Mean heart rate, bpm (before, long, full)",ECG raw,before/long/full,hrv_time__MeanHR_bpm,absolute value,MeanHR_bpm,21,0.955,-0.144,0.144,0.702,0.018,low_abs_spearman,ecg_raw_rest_before::before__long__full__hrv_time__MeanHR_bpm
48,weak,False,"Inhale breath-hold response before training: Mean NN interval, ms — percent change",HRV time,Inhale breath-hold response before training,hrv_time__MeanNN_ms,percent change,relative_change,22,1.0,0.135,0.135,0.708,0.0,low_abs_spearman,ecg_breath_before::breath_in_response_before__hrv_time__MeanNN_ms__percent_delta
49,weak,False,"Inhale breath-hold response before training: Mean heart rate, bpm — difference",HRV time,Inhale breath-hold response before training,hrv_time__MeanHR_bpm,difference,absolute_change,22,1.0,-0.131,0.131,0.7,0.0,low_abs_spearman,ecg_breath_before::breath_in_response_before__hrv_time__MeanHR_bpm__delta
50,weak,False,"Orthostatic response before training: Mean NN interval, ms — percent change",HRV time,Orthostatic response before training,hrv_time__MeanNN_ms,percent change,relative_change,22,1.0,0.131,0.131,0.722,0.012,low_abs_spearman,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanNN_ms__percent_delta
51,weak,False,"Mean NN interval, ms (before, long, full)",ECG raw,before/long/full,hrv_time__MeanNN_ms,absolute value,MeanNN_ms,21,0.955,0.128,0.128,0.676,0.0,low_abs_spearman,ecg_raw_rest_before::before__long__full__hrv_time__MeanNN_ms
52,weak,False,"Inhale breath-hold response before training: Mean heart rate, bpm — percent change",HRV time,Inhale breath-hold response before training,hrv_time__MeanHR_bpm,percent change,relative_change,22,1.0,-0.122,0.122,0.68,0.0,low_abs_spearman,ecg_breath_before::breath_in_response_before__hrv_time__MeanHR_bpm__percent_delta
53,weak,False,"LF/HF ratio (before, sit, full)",ECG raw,before/sit/full,hrv_freq__LF_HF_ratio,absolute value,LF_HF_ratio,21,0.955,0.116,0.116,0.668,0.0,low_abs_spearman,ecg_raw_rest_before::before__sit__full__hrv_freq__LF_HF_ratio
54,reject,False,"T-wave amplitude (before, long, full)",ECG raw,before/long/full,morph_t__T_amp,absolute value,T_amp,6,0.273,0.116,0.116,0.552,0.0,low_valid_fraction;low_abs_spearman;low_bootstrap_stability,ecg_raw_rest_before::before__long__full__morph_t__T_amp
55,weak,False,"Inhale breath-hold response before training: SDNN, ms — difference",HRV time,Inhale breath-hold response before training,hrv_time__SDNN_ms,difference,absolute_change,22,1.0,-0.114,0.114,0.658,0.023,low_abs_spearman,ecg_breath_before::breath_in_response_before__hrv_time__SDNN_ms__delta
56,weak,False,"Inhale breath-hold response before training: RMSSD, ms — difference",HRV time,Inhale breath-hold response before training,hrv_time__RMSSD_ms,difference,absolute_change,22,1.0,-0.113,0.113,0.668,0.009,low_abs_spearman,ecg_breath_before::breath_in_response_before__hrv_time__RMSSD_ms__delta
57,weak,False,Orthostatic response before training: LF power — percent change,HRV frequency,Orthostatic response before training,hrv_freq__LF_power,percent change,relative_change,21,0.955,-0.091,0.091,0.632,0.135,low_abs_spearman,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_power__percent_delta
58,weak,False,"Orthostatic response before training: Mean heart rate, bpm — difference",HRV time,Orthostatic response before training,hrv_time__MeanHR_bpm,difference,absolute_change,22,1.0,-0.088,0.088,0.648,0.0,low_abs_spearman,ecg_orthostatic_before::orthostatic_before__hrv_time__MeanHR_bpm__delta
59,weak,False,"Inhale breath-hold response before training: SDNN, ms — percent change",HRV time,Inhale breath-hold response before training,hrv_time__SDNN_ms,percent change,relative_change,22,1.0,0.078,0.078,0.638,0.0,low_abs_spearman,ecg_breath_before::breath_in_response_before__hrv_time__SDNN_ms__percent_delta
60,weak,False,"HF power (before, sit, full)",ECG raw,before/sit/full,hrv_freq__HF_power,absolute value,HF_power,21,0.955,-0.074,0.074,0.626,0.076,low_abs_spearman,ecg_raw_rest_before::before__sit__full__hrv_freq__HF_power
61,weak,False,"Inhale breath-hold response before training: Mean NN interval, ms — difference",HRV time,Inhale breath-hold response before training,hrv_time__MeanNN_ms,difference,absolute_change,22,1.0,0.074,0.074,0.604,0.0,low_abs_spearman,ecg_breath_before::breath_in_response_before__hrv_time__MeanNN_ms__delta
62,reject,False,"LF power (before, long, full)",ECG raw,before/long/full,hrv_freq__LF_power,absolute value,LF_power,19,0.864,-0.074,0.074,0.594,0.01,low_abs_spearman;low_bootstrap_stability,ecg_raw_rest_before::before__long__full__hrv_freq__LF_power
63,reject,False,"Deviation from personal baseline, sit before training: RMSSD, ms — robust z-score",HRV time,"Deviation from personal baseline, sit before training",hrv_time__RMSSD_ms,robust z-score,normalized_deviation,18,0.818,0.073,0.073,0.592,0.087,low_abs_spearman;low_bootstrap_stability,ecg_baseline_before::baseline_dev_sit_before__hrv_time__RMSSD_ms__robust_z
64,reject,False,"T-wave amplitude (before, sit, full)",ECG raw,before/sit/full,morph_t__T_amp,absolute value,T_amp,14,0.636,-0.069,0.069,0.582,0.0,low_abs_spearman;low_bootstrap_stability,ecg_raw_rest_before::before__sit__full__morph_t__T_amp
65,reject,False,"Orthostatic response before training: pNN50, % — difference",HRV time,Orthostatic response before training,hrv_time__pNN50_percent,difference,absolute_change,22,1.0,-0.067,0.067,0.59,0.08,low_abs_spearman;low_bootstrap_stability,ecg_orthostatic_before::orthostatic_before__hrv_time__pNN50_percent__delta
66,reject,False,"Deviation from personal baseline, sit before training: HF power — robust z-score",HRV frequency,"Deviation from personal baseline, sit before training",hrv_freq__HF_power,robust z-score,normalized_deviation,17,0.773,0.065,0.065,0.582,0.0,low_abs_spearman;low_bootstrap_stability,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__HF_power__robust_z
67,weak,False,"Deviation from personal baseline, sit before training: LF/HF ratio — robust z-score",HRV frequency,"Deviation from personal baseline, sit before training",hrv_freq__LF_HF_ratio,robust z-score,normalized_deviation,19,0.864,-0.065,0.065,0.616,0.0,low_abs_spearman,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_HF_ratio__robust_z
