feature,role,source_table,feature_family,n_total,n_valid,valid_ratio,n_missing,missing_ratio,n_unique,mean,median,std,iqr,min,max,usable,reason
raw_ecg__before__breath_in__end__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,22,4,0.18181818181818182,18,0.8181818181818182,4,161.01514182128386,147.15291106845808,65.37424372836428,77.84175730432925,102.36724248240564,247.3875026658136,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__breath_in__end__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,22,4,0.18181818181818182,18,0.8181818181818182,4,270.8466624013649,272.97931328641505,49.92407724768448,66.11217743655365,213.26508850501173,324.16293452761784,False,low_valid_n;low_valid_ratio;low_unique_values
ecg_der__orthostatic_before__delta__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,17.773540583064722,16.78215553494191,5.087644761184558,7.84672112261708,9.432986141427342,27.439889962436894,True,ok
ecg_der__orthostatic_before__percent_delta__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,28.85240911039314,27.40511541567684,7.920657057387585,11.27921687904944,16.209970809009132,44.8959116038434,True,ok
ecg_der__orthostatic_before__ratio__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,1.2885240911039315,1.2740511541567683,0.0792065705738759,0.11279216879049447,1.1620997080900912,1.448959116038434,True,ok
ecg_der__orthostatic_before__delta__hrv_time__MeanNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,-211.47698294815845,-203.2075985574113,44.966700751157546,40.247225753007854,-313.8423874363714,-141.5443746404169,True,ok
ecg_der__orthostatic_before__percent_delta__hrv_time__MeanNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,-21.607199696818682,-20.819641310358456,4.5145932635311175,5.880261939579594,-30.693756245123684,-13.903390475325232,True,ok
ecg_der__orthostatic_before__ratio__hrv_time__MeanNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,0.7839280030318132,0.7918035868964155,0.04514593263531117,0.058802619395795896,0.6930624375487632,0.8609660952467476,True,ok
ecg_der__orthostatic_before__delta__hrv_time__SDNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,25.458247259932854,26.383136808654058,21.85406452861194,40.03838913455228,-4.8366606470496265,60.828374357522655,True,ok
ecg_der__orthostatic_before__percent_delta__hrv_time__SDNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,76.87356920754975,60.1087302985798,75.85761395248467,102.54232052678238,-12.134444062530072,268.32981781833263,True,ok
ecg_der__orthostatic_before__ratio__hrv_time__SDNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,1.7687356920754977,1.601087302985798,0.7585761395248469,1.0254232052678236,0.8786555593746993,3.6832981781833274,True,ok
ecg_der__orthostatic_before__delta__hrv_time__RMSSD_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,-8.57496381865992,-10.962867804421933,10.850993824054797,8.490529408144354,-26.13730039378942,30.93801348908726,True,ok
ecg_der__orthostatic_before__percent_delta__hrv_time__RMSSD_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,-24.228981519166158,-31.549001088938436,30.938112004667204,21.040472177338998,-59.69152130809256,95.35770550062897,True,ok
ecg_der__orthostatic_before__ratio__hrv_time__RMSSD_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,0.7577101848083384,0.6845099891106157,0.30938112004667195,0.21040472177338998,0.4030847869190743,1.9535770550062896,True,ok
ecg_der__orthostatic_before__delta__hrv_time__pNN50_percent,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,-9.647157454568625,-9.582941522580242,7.583755066530965,8.483083462243611,-28.574861812064405,2.3591387998167663,True,ok
ecg_der__orthostatic_before__percent_delta__hrv_time__pNN50_percent,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,20,-60.29800322220337,-80.32913165266106,52.28472382702251,30.461915463570243,-100.0,139.18918918918922,True,ok
ecg_der__orthostatic_before__ratio__hrv_time__pNN50_percent,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,20,0.3970199677779663,0.1967086834733893,0.5228472382702252,0.30461915463570244,0.0,2.391891891891892,True,ok
ecg_der__orthostatic_before__delta__hrv_freq__LF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,0.00036335612551524155,9.382731205399998e-05,0.0009532089137148082,0.000661706684469,-0.000744882798252,0.0038261501055067,True,ok
ecg_der__orthostatic_before__percent_delta__hrv_freq__LF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,177.14513516035643,31.681698868435557,408.7926098551151,264.23431395041865,-82.09923989613762,1808.016805804617,True,ok
